,ID,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date,price,price_per_sqfoot,month
8334,531343,3.0,1.0,0.06,New Jersey,7502,962.0,2021-06-03 00:00:00.000000,189999.0,198.0,2021-06
8335,531462,6.0,4.0,0.11,New Jersey,7003,2750.0,2022-02-18 00:00:00.000000,585000.0,213.0,2022-02
8336,531614,4.0,4.0,0.53,New York,10989,2790.0,2021-03-23 00:00:00.000000,879000.0,315.0,2021-03
8337,531739,6.0,6.0,0.22,New Jersey,7652,10312.0,2021-10-04 00:00:00.000000,1699000.0,165.0,2021-10
8338,531977,5.0,5.0,4.2,New York,10992,4286.0,2021-08-23 00:00:00.000000,649000.0,151.0,2021-08
8339,532057,3.0,1.0,0.87,New York,10914,1456.0,2021-10-06 00:00:00.000000,255000.0,175.0,2021-10
8340,532066,4.0,3.0,0.36,New York,10925,1812.0,2021-07-26 00:00:00.000000,464900.0,257.0,2021-07
8341,532187,3.0,2.0,0.61,New York,10982,1916.0,2021-12-31 00:00:00.000000,800000.0,418.0,2021-12
8342,532245,3.0,2.0,0.11,New Jersey,7052,1450.0,2021-09-20 00:00:00.000000,459000.0,317.0,2021-09
8343,532410,3.0,1.0,0.3,New York,10950,960.0,2021-09-17 00:00:00.000000,599000.0,624.0,2021-09
8344,532418,6.0,4.0,0.23,New Jersey,7501,2208.0,2021-03-18 00:00:00.000000,599000.0,271.0,2021-03
8345,532472,4.0,3.0,0.33,New York,10968,2500.0,2021-04-16 00:00:00.000000,979000.0,392.0,2021-04
8346,532479,2.0,2.0,0.11,New Jersey,7644,1300.0,2022-01-07 00:00:00.000000,440000.0,338.0,2022-01
8347,532613,4.0,3.0,0.06,New Jersey,7508,1600.0,2021-08-05 00:00:00.000000,350000.0,219.0,2021-08
8348,532676,5.0,5.0,1.05,New York,10980,3500.0,2021-11-05 00:00:00.000000,995000.0,284.0,2021-11
8349,532689,3.0,2.0,0.37,New York,10965,1640.0,2021-09-01 00:00:00.000000,549000.0,335.0,2021-09
8350,532784,3.0,3.0,0.76,New York,10977,2163.0,2022-01-19 00:00:00.000000,799000.0,369.0,2022-01
8351,532804,6.0,6.0,1.84,New York,10980,6000.0,2021-11-05 00:00:00.000000,2000000.0,333.0,2021-11
8352,532841,4.0,3.0,0.15,New Jersey,7424,1308.0,2021-06-03 00:00:00.000000,469000.0,359.0,2021-06
8353,533039,5.0,5.0,1.94,New York,10980,3800.0,2021-11-05 00:00:00.000000,1099999.0,289.0,2021-11
8354,533046,4.0,4.0,1.2,New York,10918,5084.0,2021-06-24 00:00:00.000000,768000.0,151.0,2021-06
8355,533084,6.0,6.0,0.29,New Jersey,7028,4328.0,2021-03-02 00:00:00.000000,1850000.0,427.0,2021-03
8356,533183,4.0,5.0,1.03,New Jersey,7470,4693.0,2021-08-16 00:00:00.000000,899000.0,192.0,2021-08
8357,533211,4.0,3.0,0.57,New York,10901,1487.0,2021-06-28 00:00:00.000000,799900.0,538.0,2021-06
8358,533232,4.0,2.0,0.12,New Jersey,7003,2800.0,2021-03-24 00:00:00.000000,675000.0,241.0,2021-03
8359,533458,5.0,4.0,0.17,New Jersey,7028,2665.0,2021-09-22 00:00:00.000000,775000.0,291.0,2021-09
8360,533551,2.0,2.0,0.11,New Jersey,7506,1460.0,2021-08-02 00:00:00.000000,399900.0,274.0,2021-08
8361,533722,2.0,1.0,0.17,New Jersey,7630,7501.0,2021-07-01 00:00:00.000000,399000.0,53.0,2021-07
8362,533756,8.0,4.0,0.17,New York,10703,3100.0,2021-03-17 00:00:00.000000,975000.0,315.0,2021-03
8363,533762,4.0,4.0,0.13,New Jersey,7014,2200.0,2021-03-09 00:00:00.000000,899000.0,409.0,2021-03
8364,533979,4.0,2.0,0.34,New York,10994,2001.0,2021-12-30 00:00:00.000000,727000.0,363.0,2021-12
8365,534112,6.0,3.0,0.61,New York,10977,2471.0,2021-08-20 00:00:00.000000,999000.0,404.0,2021-08
8366,534321,6.0,4.0,0.31,New York,10954,3309.0,2021-10-22 00:00:00.000000,699999.0,212.0,2021-10
8367,534475,5.0,4.0,0.63,New York,10901,3750.0,2021-05-26 00:00:00.000000,799000.0,213.0,2021-05
