,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,month
612110,for_sale,5.0,4.0,0.1,Long Beach Township,New Jersey,8008.0,2875.0,2021-12-09,2795000.0,2021-12
612122,for_sale,6.0,8.0,0.25,Long Beach Township,New Jersey,8008.0,6100.0,2021-12-28,5495000.0,2021-12
612150,for_sale,8.0,9.0,0.5,Long Beach Township,New Jersey,8008.0,8500.0,2021-10-18,6999000.0,2021-10
612156,for_sale,4.0,3.0,0.09,Long Beach Township,New Jersey,8008.0,2600.0,2021-08-05,1995000.0,2021-08
612160,for_sale,5.0,5.0,0.07,Long Beach Township,New Jersey,8008.0,2678.0,2021-06-15,2999999.0,2021-06
612162,for_sale,5.0,6.0,0.17,Beach Haven,New Jersey,8008.0,3300.0,2021-12-23,2795000.0,2021-12
612183,for_sale,3.0,2.0,0.21,Barnegat,New Jersey,8005.0,1430.0,2022-01-06,325000.0,2022-01
612195,for_sale,2.0,2.0,0.19,Barnegat,New Jersey,8005.0,1748.0,2021-12-14,532935.0,2021-12
612198,for_sale,2.0,2.0,0.2,Barnegat,New Jersey,8005.0,1865.0,2021-12-14,517935.0,2021-12
612204,for_sale,4.0,2.0,0.14,Barnegat,New Jersey,8005.0,1824.0,2021-06-25,697500.0,2021-06
612342,for_sale,4.0,2.0,1.69,Cedarville,New Jersey,8311.0,1176.0,2021-08-16,218000.0,2021-08
612460,for_sale,3.0,2.0,0.25,Pennsville,New Jersey,8070.0,1580.0,2021-09-01,224800.0,2021-09
612461,for_sale,3.0,2.0,0.24,Pennsville,New Jersey,8070.0,1352.0,2021-09-03,279990.0,2021-09
612516,for_sale,3.0,2.0,0.22,Elmer,New Jersey,8318.0,1576.0,2021-11-24,175000.0,2021-11
612517,for_sale,3.0,1.0,1.36,Woodstown,New Jersey,8098.0,1300.0,2021-08-31,275000.0,2021-08
612546,for_sale,3.0,2.0,0.32,Pennsville,New Jersey,8070.0,912.0,2021-04-26,160000.0,2021-04
612563,for_sale,3.0,1.0,0.52,Penns Grove,New Jersey,8069.0,1302.0,2021-09-08,209900.0,2021-09
612572,for_sale,3.0,1.0,0.22,Penns Grove,New Jersey,8069.0,1556.0,2022-03-29,219900.0,2022-03
612594,for_sale,2.0,1.0,0.17,Bridgeton,New Jersey,8302.0,1094.0,2021-12-30,139900.0,2021-12
612625,for_sale,4.0,2.0,0.12,Penns Grove,New Jersey,8069.0,1970.0,2021-11-16,170000.0,2021-11
612634,for_sale,3.0,2.0,0.27,Penns Grove,New Jersey,8069.0,1661.0,2022-01-19,245000.0,2022-01
612754,for_sale,3.0,2.0,0.21,Bridgeton,New Jersey,8302.0,1272.0,2022-03-03,119900.0,2022-03
612774,for_sale,3.0,2.0,0.24,Bridgeton,New Jersey,8302.0,1000.0,2022-01-19,225000.0,2022-01
612789,for_sale,4.0,2.0,0.28,Penns Grove,New Jersey,8069.0,2160.0,2021-08-24,270000.0,2021-08
612841,for_sale,5.0,4.0,0.26,Bridgeton,New Jersey,8302.0,2128.0,2021-04-13,249900.0,2021-04
612874,for_sale,3.0,2.0,0.19,Pennsville,New Jersey,8070.0,1374.0,2021-06-21,164900.0,2021-06
612916,for_sale,2.0,2.0,0.9,Bridgeton,New Jersey,8302.0,1440.0,2022-02-07,259000.0,2022-02
612917,for_sale,4.0,2.0,0.08,Pennsville,New Jersey,8070.0,1824.0,2021-08-30,189900.0,2021-08
612938,for_sale,5.0,4.0,0.17,Swedesboro,New Jersey,8085.0,2708.0,2021-04-08,470000.0,2021-04
612941,for_sale,3.0,1.0,0.17,Penns Grove,New Jersey,8069.0,1100.0,2021-12-16,140000.0,2021-12
612969,for_sale,3.0,1.0,0.25,Millville,New Jersey,8332.0,960.0,2021-08-10,89900.0,2021-08
612979,for_sale,3.0,1.0,1.0,Millville,New Jersey,8332.0,1108.0,2021-11-22,215000.0,2021-11
612980,for_sale,3.0,3.0,1.0,Pennsville,New Jersey,8070.0,1713.0,2021-12-29,330000.0,2021-12
613010,for_sale,3.0,2.0,0.17,Alloway,New Jersey,8001.0,1635.0,2021-07-13,239900.0,2021-07
613024,for_sale,3.0,2.0,0.51,Millville,New Jersey,8332.0,1512.0,2021-09-10,295000.0,2021-09
613029,for_sale,3.0,1.0,0.28,Pennsville,New Jersey,8070.0,1694.0,2021-05-04,250000.0,2021-05
613031,for_sale,2.0,2.0,0.12,Pennsville,New Jersey,8070.0,870.0,2021-11-15,179900.0,2021-11
613089,for_sale,6.0,6.0,0.42,East Brunswick,New Jersey,8816.0,5050.0,2022-03-08,999900.0,2022-03
613100,for_sale,5.0,5.0,0.6,Montville,New Jersey,7045.0,4933.0,2021-12-10,1299990.0,2021-12
613200,for_sale,5.0,5.0,0.28,Westfield,New Jersey,7090.0,4417.0,2021-03-29,1199000.0,2021-03
613228,for_sale,3.0,1.0,0.14,Clark,New Jersey,7066.0,1263.0,2021-11-22,442000.0,2021-11
613303,for_sale,5.0,5.0,0.26,Princeton,New Jersey,8540.0,5109.0,2021-06-11,2099000.0,2021-06
613311,for_sale,5.0,2.0,0.1,North Brunswick,New Jersey,8902.0,1258.0,2021-03-03,290000.0,2021-03
613433,for_sale,2.0,2.0,0.01,Woodbridge Proper,New Jersey,7095.0,1535.0,2022-02-08,299900.0,2022-02
613471,for_sale,3.0,2.0,0.03,Staten Island,New York,10309.0,1642.0,2021-08-19,519000.0,2021-08
613495,for_sale,3.0,3.0,0.08,Linden,New Jersey,7036.0,2200.0,2021-07-15,470000.0,2021-07
613518,for_sale,5.0,3.0,0.06,Newark,New Jersey,7103.0,3900.0,2021-05-13,525000.0,2021-05
613545,for_sale,5.0,3.0,0.06,Irvington,New Jersey,7111.0,2100.0,2021-12-09,550000.0,2021-12
613551,for_sale,5.0,6.0,0.79,Edison,New Jersey,8820.0,4905.0,2021-12-17,1500000.0,2021-12
613552,for_sale,4.0,4.0,0.24,Summit,New Jersey,7901.0,3843.0,2021-10-08,1750000.0,2021-10
613562,for_sale,3.0,2.0,0.14,Fords,New Jersey,8863.0,1320.0,2021-09-23,400000.0,2021-09
613588,for_sale,5.0,4.0,0.23,Piscataway,New Jersey,8854.0,2811.0,2021-03-12,599900.0,2021-03
613615,for_sale,3.0,1.0,0.11,Union Twp,New Jersey,7083.0,1934.0,2022-02-08,399999.0,2022-02
613698,for_sale,3.0,2.0,0.06,Newark,New Jersey,7106.0,1098.0,2021-06-08,295000.0,2021-06
613714,for_sale,4.0,1.0,0.12,Manville,New Jersey,8835.0,1152.0,2021-12-16,350000.0,2021-12
613782,for_sale,5.0,2.0,0.18,Scotch Plains,New Jersey,7076.0,2100.0,2021-12-21,549000.0,2021-12
613811,for_sale,3.0,2.0,0.19,Avenel,New Jersey,7001.0,1552.0,2021-08-02,335000.0,2021-08
613846,for_sale,5.0,3.0,0.23,South Plainfield,New Jersey,7080.0,2919.0,2022-01-03,719900.0,2022-01
613888,for_sale,2.0,2.0,0.01,Staten Island,New York,10312.0,980.0,2021-11-09,429900.0,2021-11
613895,for_sale,3.0,2.0,0.09,Carteret,New Jersey,7008.0,1499.0,2022-03-11,349900.0,2022-03
613960,for_sale,4.0,4.0,0.16,Morristown,New Jersey,7960.0,3400.0,2021-08-19,1675000.0,2021-08
614189,for_sale,5.0,3.0,0.14,Bound Brook,New Jersey,8805.0,1780.0,2021-03-26,419900.0,2021-03
614212,for_sale,5.0,5.0,0.23,Iselin,New Jersey,8830.0,3600.0,2021-09-30,850000.0,2021-09
